Genotype	chr	ref_start	ref_end	donor_genome	color
Col-0	chr1	1	3630	Col-0	#000000
Col-0	chr1	3631	5899	Col-0	#000000
Col-0	chr1	5900	6787	Col-0	#000000
Col-0	chr1	6788	9130	Col-0	#000000
Col-0	chr1	9131	11648	Col-0	#000000
Col-0	chr1	11649	13714	Col-0	#000000
Col-0	chr1	13715	23120	Col-0	#000000
Col-0	chr1	23121	33171	Col-0	#000000
Col-0	chr1	33172	37871	Col-0	#000000
Col-0	chr1	37872	38443	Col-0	#000000
Col-0	chr1	38444	41017	Col-0	#000000
Col-0	chr1	41018	44969	Col-0	#000000
Col-0	chr1	44970	47059	Col-0	#000000
Col-0	chr1	47060	49304	Col-0	#000000
Col-0	chr1	49305	49908	Col-0	#000000
Col-0	chr1	49909	51210	Col-0	#000000
Col-0	chr1	51211	51952	Col-0	#000000
Col-0	chr1	51953	54737	Col-0	#000000
Col-0	chr1	54738	57163	Col-0	#000000
Col-0	chr1	57164	59215	Col-0	#000000
Col-0	chr1	59216	61904	Col-0	#000000
Col-0	chr1	61905	64165	Col-0	#000000
Col-0	chr1	64166	67774	Col-0	#000000
Col-0	chr1	67775	69910	Col-0	#000000
Col-0	chr1	69911	72338	Col-0	#000000
Col-0	chr1	72339	74737	Col-0	#000000
Col-0	chr1	74738	75389	Col-0	#000000
Col-0	chr1	75390	76845	Col-0	#000000
Col-0	chr1	76846	82983	Col-0	#000000
Col-0	chr1	82984	84946	Col-0	#000000
Col-0	chr1	84947	86485	Col-0	#000000
Col-0	chr1	86486	88409	Col-0	#000000
Col-0	chr1	88410	90502	Col-0	#000000
Col-0	chr1	90503	91341	Col-0	#000000
Col-0	chr1	91342	95681	Col-0	#000000
Col-0	chr1	95682	97411	Col-0	#000000
Col-0	chr1	97412	99240	Col-0	#000000
Col-0	chr1	99241	99864	Col-0	#000000
Col-0	chr1	99865	101987	Col-0	#000000
Col-0	chr1	101988	104439	Col-0	#000000
Col-0	chr1	104440	105330	Col-0	#000000
Col-0	chr1	105331	108945	Col-0	#000000
Col-0	chr1	108946	111699	Col-0	#000000
Col-0	chr1	111700	112262	Col-0	#000000
Col-0	chr1	112263	114201	Col-0	#000000
Col-0	chr1	114202	116407	Col-0	#000000
Col-0	chr1	116408	118845	Col-0	#000000
Col-0	chr1	118846	119380	Col-0	#000000
Col-0	chr1	119381	120153	Col-0	#000000
Col-0	chr1	120154	130577	Col-0	#000000
Col-0	chr1	130578	132269	Col-0	#000000
Col-0	chr1	132270	135924	Col-0	#000000
Col-0	chr1	135925	138162	Col-0	#000000
Col-0	chr1	138163	139680	Col-0	#000000
Col-0	chr1	139681	141869	Col-0	#000000
Col-0	chr1	141870	143488	Col-0	#000000
Col-0	chr1	143489	146479	Col-0	#000000
Col-0	chr1	146480	147042	Col-0	#000000
Col-0	chr1	147043	149848	Col-0	#000000
Col-0	chr1	149849	150688	Col-0	#000000
Col-0	chr1	150689	152210	Col-0	#000000
Col-0	chr1	152211	153112	Col-0	#000000
Col-0	chr1	153113	154366	Col-0	#000000
Col-0	chr1	154367	156476	Col-0	#000000
Col-0	chr1	156477	158823	Col-0	#000000
Col-0	chr1	158824	159627	Col-0	#000000
Col-0	chr1	159628	162953	Col-0	#000000
Col-0	chr1	162954	164104	Col-0	#000000
Col-0	chr1	164105	165517	Col-0	#000000
Col-0	chr1	165518	166588	Col-0	#000000
Col-0	chr1	166589	168558	Col-0	#000000
Col-0	chr1	168559	171386	Col-0	#000000
Col-0	chr1	171387	172948	Col-0	#000000
Col-0	chr1	172949	175705	Col-0	#000000
Col-0	chr1	175706	178406	Col-0	#000000
Col-0	chr1	178407	180016	Col-0	#000000
Col-0	chr1	180017	182749	Col-0	#000000
Col-0	chr1	182750	185032	Col-0	#000000
Col-0	chr1	185033	187144	Col-0	#000000
Col-0	chr1	187145	192436	Col-0	#000000
Col-0	chr1	192437	193670	Col-0	#000000
Col-0	chr1	193671	195644	Col-0	#000000
Col-0	chr1	195645	198787	Col-0	#000000
Col-0	chr1	198788	199526	Col-0	#000000
Col-0	chr1	199527	202102	Col-0	#000000
Col-0	chr1	202103	204934	Col-0	#000000
Col-0	chr1	204935	207642	Col-0	#000000
Col-0	chr1	207643	208994	Col-0	#000000
Col-0	chr1	208995	213082	Col-0	#000000
Col-0	chr1	213083	214149	Col-0	#000000
Col-0	chr1	214150	217734	Col-0	#000000
Col-0	chr1	217735	218833	Col-0	#000000
Col-0	chr1	218834	221641	Col-0	#000000
Col-0	chr1	221642	224351	Col-0	#000000
Col-0	chr1	224352	225664	Col-0	#000000
Col-0	chr1	225665	227543	Col-0	#000000
Col-0	chr1	227544	228798	Col-0	#000000
Col-0	chr1	228799	232839	Col-0	#000000
Col-0	chr1	232840	237905	Col-0	#000000
Col-0	chr1	237906	239840	Col-0	#000000
Col-0	chr1	239841	242712	Col-0	#000000
Col-0	chr1	242713	246054	Col-0	#000000
Col-0	chr1	246055	248440	Col-0	#000000
Col-0	chr1	248441	249040	Col-0	#000000
Col-0	chr1	249041	252522	Col-0	#000000
Col-0	chr1	252523	254530	Col-0	#000000
Col-0	chr1	254531	259306	Col-0	#000000
Col-0	chr1	259307	261667	Col-0	#000000
Col-0	chr1	261668	262827	Col-0	#000000
Col-0	chr1	262828	266324	Col-0	#000000
Col-0	chr1	266325	267992	Col-0	#000000
Col-0	chr1	267993	274930	Col-0	#000000
Col-0	chr1	274931	278599	Col-0	#000000
Col-0	chr1	278600	284349	Col-0	#000000
Col-0	chr1	284350	291203	Col-0	#000000
Col-0	chr1	291204	293245	Col-0	#000000
Col-0	chr1	293246	295086	Col-0	#000000
Col-0	chr1	295087	296000	Col-0	#000000
Col-0	chr1	296001	298450	Col-0	#000000
Col-0	chr1	298451	302310	Col-0	#000000
Col-0	chr1	302311	303536	Col-0	#000000
Col-0	chr1	303537	306466	Col-0	#000000
Col-0	chr1	306467	309541	Col-0	#000000
Col-0	chr1	309542	310168	Col-0	#000000
Col-0	chr1	310169	319667	Col-0	#000000
Col-0	chr1	319668	325315	Col-0	#000000
Col-0	chr1	325316	337912	Col-0	#000000
Col-0	chr1	337913	340088	Col-0	#000000
Col-0	chr1	340089	342040	Col-0	#000000
Col-0	chr1	342041	342917	Col-0	#000000
Col-0	chr1	342918	344400	Col-0	#000000
Col-0	chr1	344401	345515	Col-0	#000000
Col-0	chr1	345516	347612	Col-0	#000000
Col-0	chr1	347613	352545	Col-0	#000000
