contig	start	end	length	kmerCount	adjacentCount
1	1	1500	1500	184	0
1	1501	5000	3500	468	0
1	5001	7000	2000	243	0
1	7001	10500	3500	405	4
1	10501	12500	2000	217	0
1	12501	16000	3500	420	0
1	16001	18000	2000	313	0
1	18001	21500	3500	476	0
1	21501	23500	2000	557	0
1	23501	27000	3500	468	0
1	27001	29000	2000	292	2
1	29001	32500	3500	601	0
1	32501	34500	2000	273	0
1	34501	38000	3500	466	0
1	38001	40000	2000	270	0
1	40001	43500	3500	494	0
1	43501	45500	2000	239	0
1	45501	49000	3500	509	0
1	49001	51000	2000	157	0
2	1	1500	1500	176	0
2	1501	5000	3500	465	0
2	5001	7000	2000	242	0
2	7001	10500	3500	452	0
2	10501	12500	2000	293	0
2	12501	16000	3500	457	0
2	16001	18000	2000	298	0
2	18001	21500	3500	541	0
2	21501	23500	2000	355	0
2	23501	27000	3500	477	0
2	27001	29000	2000	390	0
2	29001	32500	3500	585	0
2	32501	34500	2000	243	0
2	34501	38000	3500	472	0
2	38001	40000	2000	266	0
2	40001	43500	3500	475	0
2	43501	45500	2000	278	0
2	45501	49000	3500	545	0
2	49001	51000	2000	213	0
